,Name,Team,Pos,W,L,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,PTS,ERA,AVG,WHIP,FPPG,Projected_FPPG
244,Brandon Bielak,HOU,SP,1,0,5,0,0,13.0,9,5,5,1,4,11,63,3.46,0.191,1.0,12.6,15.680847170495186
245,Josh Tomlin,ATL,RP,2,0,10,0,0,14.2,20,7,7,0,2,9,62,4.3,0.32299999999999995,1.5,6.2,10.647003454105034
246,Matt Andriese,BOS,RP,0,1,10,0,1,13.2,14,7,5,1,4,12,62,3.29,0.264,1.32,6.2,14.265758930001105
247,Mychal Givens,COL,RP,1,1,11,0,0,10.2,8,3,3,2,2,11,62,2.53,0.211,0.94,5.636363636363638,12.15318914889937
248,Austin Voth,WSH,SP,0,0,7,0,0,9.2,8,2,2,0,5,13,62,1.86,0.235,1.35,8.857142857142858,16.95055565215624
249,Devin Williams,MIL,RP,0,0,11,0,0,10.2,7,5,5,3,9,15,62,4.22,0.184,1.5,5.636363636363638,21.075198614408535
250,David Bednar,PIT,RP,0,0,12,0,0,10.2,6,2,2,2,3,12,62,1.69,0.158,0.84,5.166666666666667,13.927037122879183
251,Jake Brentz,KC,SP,0,0,13,0,0,11.2,9,5,4,1,6,13,62,3.09,0.214,1.29,4.769230769230768,16.994675148997658
252,Tyler Chatwood,TOR,RP,0,0,8,0,0,8.1,6,0,0,0,2,12,61,0.0,0.207,0.96,7.625,13.67733121479009
253,Matt Shoemaker,MIN,SP,1,3,5,5,0,23.0,28,21,20,7,8,14,61,7.83,0.298,1.57,12.2,19.854737536706395
254,Taylor Rogers,MIN,RP,0,1,9,0,2,10.1,10,3,2,1,1,12,61,1.74,0.256,1.07,6.777777777777778,10.981286641312522
255,Chris Stratton,PIT,RP,1,0,12,0,0,14.1,17,10,9,3,2,13,61,5.65,0.293,1.33,5.083333333333333,9.893737216789173
256,J.B. Wendelken,OAK,RP,0,0,15,0,0,12.1,15,7,6,1,5,14,61,4.38,0.28300000000000003,1.62,4.066666666666666,14.017718299301848
257,Daniel Hudson,WSH,RP,2,0,8,0,0,8.0,4,2,2,2,4,10,60,2.25,0.14300000000000002,1.0,7.5,15.792533089787243
258,Brad Hand,WSH,RP,2,0,8,0,3,9.0,4,1,0,0,4,7,60,0.0,0.138,0.89,7.5,16.95303159566695
259,Michael King,NYY,SP,0,0,3,0,0,11.0,4,0,0,0,4,9,60,0.0,0.111,0.73,20.0,17.836658748931374
260,Robert Stephenson,COL,RP,0,1,12,0,0,11.2,13,7,4,2,2,12,59,3.09,0.255,1.29,4.916666666666667,10.947130133154223
261,Kent Emanuel,HOU,SP,1,0,3,0,0,10.2,6,2,2,2,0,9,59,1.69,0.16699999999999998,0.56,19.666666666666668,11.273293582476025
262,Alex Young,ARI,SP,0,3,12,0,0,10.2,7,4,3,2,7,12,59,2.53,0.184,1.31,4.916666666666667,18.95188386447316
263,Drew Rasmussen,MIL,SP,0,1,11,0,0,11.2,12,11,8,2,8,16,59,6.17,0.24,1.71,5.363636363636363,18.29157195506693
264,José Cisnero,DET,RP,0,1,12,0,0,10.1,11,8,7,2,6,16,58,6.1,0.262,1.65,4.833333333333333,15.232996633974013
