Name,Team,Pos,GMS,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,TB,AVG,OBP,SLG,OPS,ISO,PTS,FPPG,Projected_FPPG
JT Riddle,MIN,SS,4,6,1,2,0,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.6659999999999999,0.0,9.2,2.3,4.911319459343273
Shed Long Jr.,SEA,2B,1,4,1,1,1,0,0,0,0,0,0,0,2,0.25,0.25,0.5,0.75,0.25,9.2,9.2,6.819371612303425
Luis Rengifo,LAA,2B,4,14,1,1,0,0,0,0,1,2,0,0,1,0.071,0.133,0.071,0.204,0.0,9.2,2.3,1.714107089459147
P.J. Higgins,CHC,C,8,21,1,1,0,0,0,0,1,8,0,0,1,0.048,0.091,0.048,0.139,0.0,9.2,1.15,1.1036631298095818
Tyler Nevin,BAL,1B,2,5,0,1,1,0,0,0,1,2,0,0,2,0.2,0.333,0.4,0.733,0.2,9.0,4.5,6.857214177868263
Max Moroff,STL,SS,6,16,0,1,0,0,0,1,0,10,0,0,1,0.062,0.062,0.062,0.124,0.0,6.5,1.0833333333333333,0.8716700149219392
Orlando Arcia,MIL,SS,4,11,0,1,0,0,0,1,0,3,0,0,1,0.091,0.091,0.091,0.182,0.0,6.5,1.625,1.294558723633192
Luis Marté,MIA,SS,1,2,1,0,0,0,0,0,1,1,0,0,0,0.0,0.333,0.0,0.333,0.0,6.2,6.2,3.5887153330497052
Braden Bishop,SEA,OF,8,4,1,1,0,0,0,0,0,2,0,0,1,0.25,0.25,0.25,0.5,0.0,6.2,0.775,3.4389893137478875
Jake Hager,NYM,OF,5,8,1,1,0,0,0,0,0,3,0,0,1,0.125,0.125,0.125,0.25,0.0,6.2,1.24,1.7241959788427277
Scott Kingery,PHI,3B,15,19,1,1,0,0,0,0,0,12,0,0,1,0.053,0.053,0.053,0.106,0.0,6.2,0.4133333333333333,0.36355256989531526
Luke Williams,PHI,3B,1,1,1,1,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,2.0,0.0,6.2,6.2,15.275361527338518
Mario Feliciano,MIL,C,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,0.0,6.2,6.2,10.944532411406083
Corey Ray,MIL,OF,1,2,1,0,0,0,0,0,1,1,0,0,0,0.0,0.333,0.0,0.333,0.0,6.2,6.2,3.5887153330497052
Domingo Leyba,ARI,2B,13,22,0,0,0,0,0,0,2,7,0,0,0,0.0,0.083,0.0,0.083,0.0,6.0,0.4615384615384616,0.5667409955618545
Ali Sánchez,STL,C,1,3,0,1,1,0,0,0,0,0,0,0,2,0.333,0.333,0.667,1.0,0.33399999999999996,6.0,6.0,9.088363812478288
Estevan Florial,NYY,OF,1,3,0,1,1,0,0,0,0,1,0,0,2,0.333,0.333,0.667,1.0,0.33399999999999996,6.0,6.0,9.094125832648103
Riley Adams,TOR,C,1,3,0,1,1,0,0,0,0,2,0,0,2,0.333,0.333,0.667,1.0,0.33399999999999996,6.0,6.0,9.099887852817922
Abraham Toro,HOU,3B,6,12,0,1,0,0,0,0,1,0,0,0,1,0.083,0.154,0.083,0.237,0.0,6.0,1.0,1.8320593434871197
Sebastian Rivero,KC,C,2,6,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,3.2,1.6,-0.07335589090429817
Ryan LaMarre,NYY,OF,3,7,0,0,0,0,0,0,1,1,0,0,0,0.0,0.125,0.0,0.125,0.0,3.0,1.0,1.238764567509433
Chris Gittens,NYY,1B,2,7,0,0,0,0,0,0,1,4,0,0,0,0.0,0.125,0.0,0.125,0.0,3.0,1.5,1.3037298982238275
