P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","",58391-52159:Lance McCullers Jr.,58391-52159,P,Lance,Lance McCullers Jr.,McCullers Jr.,32,5,7400,HOU@NYY,HOU,NYY,,,,,,P
"","","","","","","","","","",58391-79103:Dane Dunning,58391-79103,P,Dane,Dane Dunning,Dunning,24.333333333333332,6,7400,TEX@MIN,TEX,MIN,,,,,,P
"","","","","","","","","","",58391-102344:Brady Singer,58391-102344,P,Brady,Brady Singer,Singer,27.6,5,7400,CLE@KC,KC,CLE,,,,Yes,,P
"","","","","","","","","","",58391-13627:Corey Kluber,58391-13627,P,Corey,Corey Kluber,Kluber,27.666666666666668,6,7300,HOU@NYY,NYY,HOU,,,,,,P
"","","","","","","","","","",58391-65987:Domingo German,58391-65987,P,Domingo,Domingo German,German,26.8,5,7200,HOU@NYY,NYY,HOU,,,,,,P
"","","","","","","","","","",58391-13019:Garrett Richards,58391-13019,P,Garrett,Garrett Richards,Richards,23.5,6,7200,DET@BOS,BOS,DET,,,,,,P
"","","","","","","","","","",58391-68564:Erick Fedde,58391-68564,P,Erick,Erick Fedde,Fedde,25,5,7200,ATL@WSH,WSH,ATL,,,,Yes,,P
"","","","","","","","","","",58391-5784:David Price,58391-5784,P,David,David Price,Price,7.142857142857143,7,7200,LAD@CHC,LAD,CHC,IL,Hamstring,,,,P
"","","","","","","","","","",58391-53398:Kyle Hendricks,58391-53398,P,Kyle,Kyle Hendricks,Hendricks,22.333333333333332,6,7100,LAD@CHC,CHC,LAD,,,,,,P
"","","","","","","","","","",58391-5369:Jon Lester,58391-5369,P,Jon,Jon Lester,Lester,18,1,7100,ATL@WSH,WSH,ATL,,,,,,P
"","","","","","","","","","",58391-104584:Zach Plesac,58391-104584,P,Zach,Zach Plesac,Plesac,23.5,6,7000,CLE@KC,CLE,KC,,,,,,P
"","","","","","","","","","",58391-16961:Jameson Taillon,58391-16961,P,Jameson,Jameson Taillon,Taillon,24.2,5,7000,HOU@NYY,NYY,HOU,,,,,,P
"","","","","","","","","","",58391-37999:Michael Wacha,58391-37999,P,Michael,Michael Wacha,Wacha,21.333333333333332,6,7000,TB@LAA,TB,LAA,IL,Hamstring,,,,P
"","","","","","","","","","",58391-52873:Joe Ross,58391-52873,P,Joe,Joe Ross,Ross,24.8,5,7000,ATL@WSH,WSH,ATL,,,,,,P
"","","","","","","","","","",58391-5983:Rich Hill,58391-5983,P,Rich,Rich Hill,Hill,19.333333333333332,6,7000,TB@LAA,TB,LAA,,,,,,P
"","","","","","","","","","",58391-102343:Tony Gonsolin,58391-102343,P,Tony,Tony Gonsolin,Gonsolin,29.555555555555557,9,7000,LAD@CHC,LAD,CHC,IL,Shoulder,,,,P
"","","","","","","","","","",58391-12481:Mike Minor,58391-12481,P,Mike,Mike Minor,Minor,23.5,6,6900,CLE@KC,KC,CLE,,,,,,P
"","","","","","","","","","",58391-68452:Kenta Maeda,58391-68452,P,Kenta,Kenta Maeda,Maeda,23,6,6900,TEX@MIN,MIN,TEX,,,,,,P
"","","","","","","","","","",58391-79118:Triston McKenzie,58391-79118,P,Triston,Triston McKenzie,McKenzie,20.8,5,6900,CLE@KC,CLE,KC,,,,,,P
"","","","","","","","","","",58391-5416:Brett Anderson,58391-5416,P,Brett,Brett Anderson,Anderson,17,4,6900,MIL@PHI,MIL,PHI,IL,Hamstring,,,,P
"","","","","","","","","","",58391-135212:Luis Garcia,58391-135212,P,Luis,Luis Garcia,Garcia,20.4,5,6800,HOU@NYY,HOU,NYY,,,,Yes,,P
"","","","","","","","","","",58391-12918:Julio Teheran,58391-12918,P,Julio,Julio Teheran,Teheran,27,1,6800,DET@BOS,DET,BOS,IL,Shoulder,,,,P
"","","","","","","","","","",58391-146130:Kohei Arihara,58391-146130,P,Kohei,Kohei Arihara,Arihara,13.5,6,6800,TEX@MIN,TEX,MIN,DTD,Finger,,,,P
"","","","","","","","","","",58391-68483:Trevor Williams,58391-68483,P,Trevor,Trevor Williams,Williams,21.666666666666668,6,6800,LAD@CHC,CHC,LAD,,,,,,P
"","","","","","","","","","",58391-70561:Alec Mills,58391-70561,P,Alec,Alec Mills,Mills,5.7,10,6800,LAD@CHC,CHC,LAD,,,,,,P
"","","","","","","","","","",58391-79226:Eric Lauer,58391-79226,P,Eric,Eric Lauer,Lauer,33.5,2,6800,MIL@PHI,MIL,PHI,,,,,,P
"","","","","","","","","","",58391-11328:Martin Perez,58391-11328,P,Martin,Martin Perez,Perez,19.8,5,6700,DET@BOS,BOS,DET,,,,Yes,,P
"","","","","","","","","","",58391-60627:Touki Toussaint,58391-60627,P,Touki,Touki Toussaint,Toussaint,13.571428571428571,7,6600,ATL@WSH,ATL,WSH,IL,Shoulder,,,,P
"","","","","","","","","","",58391-85253:Casey Mize,58391-85253,P,Casey,Casey Mize,Mize,21.8,5,6600,DET@BOS,DET,BOS,,,,Yes,,P
"","","","","","","","","","",58391-13727:Josh Lindblom,58391-13727,P,Josh,Josh Lindblom,Lindblom,4,5,6600,MIL@PHI,MIL,PHI,IL,Knee,,,,P
"","","","","","","","","","",58391-12921:Chris Archer,58391-12921,P,Chris,Chris Archer,Archer,11,2,6500,TB@LAA,TB,LAA,IL,Forearm,,,,P
"","","","","","","","","","",58391-12929:Jordan Lyles,58391-12929,P,Jordan,Jordan Lyles,Lyles,15.666666666666666,6,6500,TEX@MIN,TEX,MIN,,,,,,P
"","","","","","","","","","",58391-13444:Mike Fiers,58391-13444,P,Mike,Mike Fiers,Fiers,22,1,6500,TOR@OAK,OAK,TOR,,,,,,P
"","","","","","","","","","",58391-82546:Adbert Alzolay,58391-82546,P,Adbert,Adbert Alzolay,Alzolay,27.25,4,6400,LAD@CHC,CHC,LAD,,,,Yes,,P
"","","","","","","","","","",58391-12934:Tyler Chatwood,58391-12934,P,Tyler,Tyler Chatwood,Chatwood,7.625,8,6400,TOR@OAK,TOR,OAK,,,,,,P
"","","","","","","","","","",58391-66766:Adrian Houser,58391-66766,P,Adrian,Adrian Houser,Houser,22.5,6,6400,MIL@PHI,MIL,PHI,,,,,,P
