Rank,Name,Team,POS,W,L,ERA,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,AVG,WHIP,PTS
669,Bryan Shaw,SEA,RP,1,0,18,6,0,0,6,13,12,12,1,6,4,0.433,3.17,0
669,Silvino Bracho,ARI,RP,0,0,18,1,0,0,1,2,2,2,1,0,1,0.4,2,0
669,Jeff Brigham,MIA,RP,0,0,9,1,0,0,1,2,1,1,0,0,0,0.4,2,0
669,Dillon Maples,CHC,RP,0,0,18,2,0,0,1,1,3,2,0,4,1,0.2,5,0
669,Dereck Rodríguez,SF,SP,0,0,13.5,2,0,0,4,10,6,6,2,3,2,0.476,3.25,0
669,Richard Lovelady,KC,RP,0,0,9,1,0,0,1,1,1,1,1,1,0,0.333,2,0
669,Anthony Castro,DET,RP,0,0,18,1,0,0,1,1,2,2,1,1,1,0.25,2,0
676,Matt Hall,BOS,RP,0,3,18.69,4,1,0,8.2,17,18,18,2,10,9,0.395,3.12,-1
676,Robert Dugger,MIA,SP,0,0,12.66,4,1,0,10.2,21,16,15,5,3,4,0.396,2.25,-1
678,José Mujica,COL,SP,0,0,12.46,2,0,0,4.1,10,7,6,2,2,1,0.476,2.77,-2
678,Zac Grotz,SEA,RP,0,0,14.73,5,0,0,7.1,11,12,12,4,11,4,0.367,3,-2
680,Phil Bickford,MIL,RP,0,0,36,1,0,0,1,4,4,4,0,0,2,0.571,4,-3
680,Junior Fernández,STL,RP,0,0,18,3,0,0,3,6,6,6,1,2,2,0.429,2.67,-3
680,Paul Sewald,NYM,RP,0,0,13.5,5,0,0,6,12,9,9,1,4,2,0.414,2.67,-3
680,Jorge Guzman,MIA,SP,0,0,18,1,0,0,1,2,2,2,2,1,0,0.4,3,-3
680,Antonio Santos,COL,SP,0,1,16.5,3,1,0,6,14,11,11,1,4,4,0.483,3,-3
685,Patrick Weigel,ATL,RP,0,0,27,1,0,0,0.2,2,2,2,0,3,0,0.667,7.5,-4
685,Miguel Del Pozo,PIT,RP,0,0,17.18,5,0,0,3.2,7,7,7,0,8,2,0.412,4.09,-4
685,James Norwood,CHC,RP,0,0,16.2,3,0,0,1.2,4,3,3,0,1,0,0.5,3,-4
