Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
58417-119426,P,Johan,Johan Oviedo,Oviedo,19.666666666666668,3,6500,NYM@STL,STL,NYM,,,,,,P
58417-118411,P,Kwang Hyun,Kwang Hyun Kim,Kim,23.75,4,6500,NYM@STL,STL,NYM,,,,,,P
58417-13444,P,Mike,Mike Fiers,Fiers,22,1,6400,TOR@OAK,OAK,TOR,,,,Yes,,P
58417-66766,P,Adrian,Adrian Houser,Houser,22.5,6,6400,MIL@PHI,MIL,PHI,,,,,0,P
58417-38161,P,Chase,Chase Anderson,Anderson,16.5,6,6400,MIL@PHI,PHI,MIL,,,,,0,P
58417-12934,P,Tyler,Tyler Chatwood,Chatwood,7.444444444444445,9,6400,TOR@OAK,TOR,OAK,,,,,,P
58417-79853,P,Jordan,Jordan Montgomery,Montgomery,24.666666666666668,6,6300,HOU@NYY,NYY,HOU,,,,,0,P
58417-114708,P,Randy,Randy Dobnak,Dobnak,5.285714285714286,7,6200,TEX@MIN,MIN,TEX,,,,,0,P
58417-84476,P,Daniel,Daniel Ponce de Leon,Ponce de Leon,3.8,5,6200,NYM@STL,STL,NYM,IL,Shoulder,,,,P
58417-5764,P,Derek,Derek Holland,Holland,1.875,8,6200,DET@BOS,DET,BOS,,,,,0,P
58417-17164,P,Matt,Matt Shoemaker,Shoemaker,12.2,5,6200,TEX@MIN,MIN,TEX,,,,,0,P
58417-38101,P,Tanner,Tanner Roark,Roark,7,3,6100,TOR@OAK,TOR,OAK,,,,,,P
58417-79209,P,A.J.,A.J. Puk,Puk,22,1,6100,TOR@OAK,OAK,TOR,IL,Biceps,,,,P
58417-38311,P,Ross,Ross Stripling,Stripling,17.666666666666668,3,6100,TOR@OAK,TOR,OAK,,,,,,P
58417-79276,P,T.J.,T.J. Zeuch,Zeuch,6.75,4,6100,TOR@OAK,TOR,OAK,,,,,,P
58417-12946,P,Matt,Matt Moore,Moore,9.75,4,6100,MIL@PHI,PHI,MIL,,,,,0,P
58417-82636,P,Joey,Joey Lucchesi,Lucchesi,8,4,6100,NYM@STL,NYM,STL,,,,,0,P
58417-15221,P,Tommy,Tommy Milone,Milone,11.5,6,6100,TOR@OAK,TOR,OAK,IL,Shoulder,,,,P
58417-102484,P,Brandon,Brandon Bielak,Bielak,10.833333333333334,6,6000,HOU@NYY,HOU,NYY,,,,,0,P
58417-102530,P,Spencer,Spencer Howard,Howard,8.333333333333334,3,6000,MIL@PHI,PHI,MIL,,,,,0,P
58417-83163,P,Jonathan,Jonathan Loaisiga,Loaisiga,8.642857142857142,14,6000,HOU@NYY,NYY,HOU,,,,,0,P
58417-79072,P,Brad,Brad Keller,Keller,11.833333333333334,6,6000,CLE@KC,KC,CLE,,,,,0,P
58417-104672,P,Devin,Devin Smeltzer,Smeltzer,23,1,6000,TEX@MIN,MIN,TEX,,,,,0,P
58417-79076,P,Kolby,Kolby Allard,Allard,12.166666666666666,6,6000,TEX@MIN,TEX,MIN,,,,,0,P
58417-79201,P,Anthony,Anthony Kay,Kay,9.5,2,6000,TOR@OAK,TOR,OAK,,,,,,P
58417-79228,P,Cal,Cal Quantrill,Quantrill,6,10,6000,CLE@KC,CLE,KC,,,,,,P
58417-62872,P,Vince,Vince Velasquez,Velasquez,17.833333333333332,6,6000,MIL@PHI,PHI,MIL,,,,,0,P
58417-85531,P,Josh,Josh James,James,6.076923076923077,13,6000,HOU@NYY,HOU,NYY,IL,Hip,,,0,P
58417-119340,P,Tarik,Tarik Skubal,Skubal,12.5,6,6000,DET@BOS,DET,BOS,,,,,0,P
58417-82534,P,Bryse,Bryse Wilson,Wilson,11,3,6000,ATL@WSH,ATL,WSH,,,,,,P
58417-17087,P,Drew,Drew Smyly,Smyly,16,4,6000,ATL@WSH,ATL,WSH,,,,Yes,,P
58417-82634,P,Logan,Logan Allen,Allen,7.6,5,6000,CLE@KC,CLE,KC,,,,,,P
58417-147155,P,Hyeon-Jong,Hyeon-Jong Yang,Yang,22,3,6000,TEX@MIN,TEX,MIN,,,,,0,P
58417-17116,P,Jake,Jake Odorizzi,Odorizzi,10,3,6000,HOU@NYY,HOU,NYY,IL,Forearm,,,0,P
58417-82656,P,Nate,Nate Pearson,Pearson,14.4,5,6000,TOR@OAK,TOR,OAK,,,,,,P
58417-68490,P,Austin,Austin Voth,Voth,8.125,8,6000,ATL@WSH,WSH,ATL,,,,,,P
58417-102333,P,Daniel,Daniel Lynch,Lynch,14,1,6000,CLE@KC,KC,CLE,,,,,0,P
58417-60637,P,Sean,Sean Newcomb,Newcomb,7,7,5900,ATL@WSH,ATL,WSH,,,,,,P
58417-79123,P,Tyler,Tyler Alexander,Alexander,8.125,8,5800,DET@BOS,DET,BOS,,,,,0,P
58417-12929,P,Jordan,Jordan Lyles,Lyles,15.666666666666666,6,5800,TEX@MIN,TEX,MIN,,,,Yes,,P
58417-68520,P,Michael,Michael Fulmer,Fulmer,11.444444444444445,9,5800,DET@BOS,DET,BOS,,,,,0,P
58417-135226,P,Wes,Wes Benjamin,Benjamin,7.666666666666667,3,5700,TEX@MIN,TEX,MIN,,,,,0,P
