Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
58318-79155,P,Jaime,Jaime Barria,Barria,-15,1,6200,TB@LAA,LAA,TB,,,,,,P
58318-71188,P,Steven,Steven Brault,Brault,18.90909090909091,11,6200,PIT@SD,PIT,SD,IL,Lat,,,,P
58318-5764,P,Derek,Derek Holland,Holland,1.875,8,6200,DET@BOS,DET,BOS,,,,,0,P
58318-12946,P,Matt,Matt Moore,Moore,11,3,6100,MIL@PHI,PHI,MIL,,,,,0,P
58318-82636,P,Joey,Joey Lucchesi,Lucchesi,8,4,6100,NYM@STL,NYM,STL,,,,,,P
58318-15221,P,Tommy,Tommy Milone,Milone,11.5,6,6100,TOR@OAK,TOR,OAK,IL,Shoulder,,,,P
58318-66765,P,Jorge,Jorge Lopez,Lopez,16,5,6100,BAL@SEA,BAL,SEA,,,,Yes,,P
58318-38101,P,Tanner,Tanner Roark,Roark,7,3,6100,TOR@OAK,TOR,OAK,,,,,,P
58318-79209,P,A.J.,A.J. Puk,Puk,22,1,6100,TOR@OAK,OAK,TOR,IL,Biceps,,,,P
58318-38311,P,Ross,Ross Stripling,Stripling,17.666666666666668,3,6100,TOR@OAK,TOR,OAK,,,,,,P
58318-79276,P,T.J.,T.J. Zeuch,Zeuch,6.75,4,6100,TOR@OAK,TOR,OAK,,,,,,P
58318-141024,P,Bruce,Bruce Zimmermann,Zimmermann,19.333333333333332,6,6100,BAL@SEA,BAL,SEA,,,,,,P
58318-102484,P,Brandon,Brandon Bielak,Bielak,12.6,5,6000,HOU@NYY,HOU,NYY,,,,,0,P
58318-102530,P,Spencer,Spencer Howard,Howard,8.333333333333334,3,6000,MIL@PHI,PHI,MIL,,,,,0,P
58318-104672,P,Devin,Devin Smeltzer,Smeltzer,23,1,6000,TEX@MIN,MIN,TEX,,,,,,P
58318-119340,P,Tarik,Tarik Skubal,Skubal,12.5,6,6000,DET@BOS,DET,BOS,,,,,0,P
58318-72265,P,Matt,Matt Strahm,Strahm,4.684210526315789,19,6000,PIT@SD,SD,PIT,IL,Knee,,,,P
58318-82534,P,Bryse,Bryse Wilson,Wilson,11,3,6000,ATL@WSH,ATL,WSH,,,,,0,P
