Rank,Name,Team,Pos,W,L,ERA,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,AVG,WHIP,PTS
417,A.J. Puk,OAK,RP,0,0,0,1,0,0,3.1,1,0,0,0,3,4,0.091,1.2,22
417,Kyle Wright,ATL,SP,0,0,4.15,1,1,0,4.1,3,2,2,1,2,5,0.214,1.15,22
424,Pedro Strop,CHC,RP,1,0,0,2,0,0,2,2,0,0,0,2,3,0.25,2,21
424,Tanner Roark,TOR,SP,0,1,6.43,3,1,0,7,7,7,5,3,2,5,0.241,1.29,21
424,Jake Woodford,STL,SP,0,0,4.5,2,0,0,4,3,2,2,0,4,5,0.231,1.75,21
424,J.B. Bukauskas,ARI,SP,1,0,9,6,0,0,4,6,4,4,0,1,5,0.333,1.75,21
424,Shane McClanahan,TB,SP,0,0,4.5,1,1,0,4,5,2,2,1,0,5,0.333,1.25,21
429,Josh Lindblom,MIL,RP,0,0,10.97,5,0,0,10.2,17,13,13,4,7,9,0.354,2.25,20
429,Buck Farmer,DET,RP,0,0,12.1,10,0,0,9.2,12,13,13,5,8,10,0.293,2.07,20
429,Mac Sceroler,BAL,SP,0,0,7.36,2,0,0,3.2,5,3,3,2,3,6,0.294,2.18,20
432,Carlos Hernandez,KC,SP,1,0,10.8,3,0,0,3.1,6,4,4,0,5,5,0.4,3.3,19
432,Mitch White,LAD,SP,0,0,0,3,0,0,4.1,3,0,0,0,2,2,0.2,1.15,19
432,Daniel Ponce de Leon,STL,SP,1,1,8.71,5,2,0,10.1,12,10,10,2,7,4,0.286,1.84,19
435,Jon Lester,WSH,SP,0,0,0,1,1,0,5,5,0,0,0,2,1,0.263,1.4,18
435,Garrett Cleavinger,LAD,RP,0,1,3,3,0,0,3,4,2,1,1,2,4,0.308,2,18
435,Lewis Thorpe,MIN,SP,0,0,3.6,2,1,0,5,3,2,2,0,1,3,0.176,0.8,18
